Date,Amount,Category,Description
2024-01-15,25.99,Food,Lunch at Italian restaurant
2024-01-16,12.50,Transport,Bus fare to downtown
2024-01-17,89.99,Shopping,New running shoes
2024-01-18,5.99,Food,Morning coffee and pastry
2024-01-20,150.00,Utilities,Monthly electricity bill
2024-01-22,45.50,Food,Grocery shopping
2024-01-23,8.75,Transport,Uber ride home
2024-01-25,199.99,Shopping,Winter jacket
2024-01-28,15.00,Entertainment,Movie ticket
2024-01-30,75.25,Food,Dinner with friends
2024-02-01,120.00,Utilities,Internet bill
2024-02-03,32.50,Food,Takeout pizza
2024-02-05,18.99,Shopping,Phone case
2024-02-07,9.50,Transport,Parking fee
2024-02-10,67.80,Food,Weekly groceries
2024-02-12,25.00,Entertainment,Concert ticket
2024-02-15,14.99,Shopping,Book purchase
2024-02-18,42.75,Food,Restaurant brunch
2024-02-20,85.00,Utilities,Gas bill
2024-02-22,11.25,Transport,Taxi fare
2024-02-25,156.40,Shopping,Clothing shopping
2024-02-28,38.60,Food,Lunch meeting
2024-03-01,95.00,Utilities,Water bill
2024-03-03,22.99,Entertainment,Streaming subscription
2024-03-05,73.50,Food,Organic groceries
